Tumor_SRR30510137,Tumor_SRR30510151,Tumor_SRR30510181,Normal_SRR28602760,Normal_SRR28602761,Normal_SRR28602767
0,0,4,0,2,4
0,0,0,0,0,0
0,2,8,12,24,20
0,0,0,0,0,0
6,0,0,0,0,0
5203,555,2933,8801,19275,28514
6,0,0,6,12,11
0,0,0,0,0,0
11764,2185,986,58,121,141
0,0,0,0,0,2
0,0,0,0,5,2
0,0,0,0,0,2
641,1146,142,7021,3117,1065
179,275,209,129,336,260
2,0,22,18,8,40
170,79,24,80,67,17
1645,790,774,495,680,780
2041,1120,875,231,1361,1951
12,12,0,0,0,0
0,0,0,0,0,0
0,0,2,0,2,0
0,0,1,0,0,0
0,0,0,0,0,2
0,2,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1683,5441,26,7608,2079,355
0,0,0,0,0,0
2,6,0,26,30,12
1950,3126,310,7143,7410,4460
0,0,6,1,2,1
5,7,0,1,1,0
0,0,0,10,0,2
0,0,20,125,53,18
0,0,0,0,0,0
0,5,0,72,45,17
0,0,0,0,0,0
13118,6363,4682,2765,3826,9166
1738,1818,538,1230,2035,3261
0,0,4,0,2,4
0,0,0,0,0,0
0,2,0,12,5,3
382,469,216,36,44,62
1472,1145,781,329,213,292
20,6,10,32,57,21
2433,2489,691,1141,1859,1881
17218,23963,6518,1758,1313,2742
6884,6395,2161,528,722,1121
19,13,7,12,12,3
55,2,20,91,189,249
0,0,0,0,0,0
6400,5157,5213,10232,11817,12314
66,26,38,7,9,4
2,0,0,0,0,0
0,0,0,4,2,0
0,0,0,0,0,0
4,2,2,0,0,0
0,0,0,1,0,0
1597,952,2160,484,398,167
0,0,0,0,0,0
2,19,0,0,0,0
20,61,24,34,46,29
0,8,0,0,8,10
2287,1351,244,648,611,840
2484,1321,825,2023,1296,768
4,20,473,358,839,2771
0,0,0,0,0,0
0,0,5,13,6,12
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
3,5,8,0,0,2
0,0,0,10,7,8
2,0,0,63,41,20
155,458,706,2854,18121,29782
2,11,0,8,0,0
0,0,0,0,0,0
5833,4833,1062,703,564,585
0,0,0,0,0,0
256,400,78,8430,8752,5429
99,183,26,86,63,36
0,2,0,2,3,0
0,0,0,2,0,0
